id,rule_type,content,desc
,dept_hr_legit,Onboarding processing,HR legit
,dept_hr_legit,fresh graduate campus recruitment,HR legit
,dept_hr_legit,recruitment resume,HR legit
,dept_hr_legit,background check,HR legit
,dept_hr_legit,labor contract,HR legit
,dept_hr_legit,social security and housing fund,HR legit
,dept_hr_legit,individual income tax declaration,HR legit
,dept_hr_legit,employee roster,HR legit
,dept_hr_legit,salary slip,HR legit
,dept_hr_legit,performance evaluation,HR legit
,dept_hr_legit,internal competition,HR legit
,dept_hr_legit,position adjustment,HR legit
,dept_hr_legit,resignation procedures,HR legit
,dept_hr_legit,attendance record,HR legit
,dept_hr_legit,employee file,HR legit
,dept_hr_legit,physical examination notice,HR legit
,dept_hr_legit,headhunting cooperation,HR legit
,dept_hr_legit,probation approval,HR legit
,dept_hr_legit,department establishment,HR legit
,dept_hr_legit,training registration,HR legit
,dept_hr_legit,onboarding materials,HR legit
,dept_hr_legit,labor relationship,HR legit
,dept_hr_legit,personnel filing,HR legit
,dept_hr_legit,social security base,HR legit
,dept_hr_legit,annual leave application,HR legit
,dept_hr_phish,Urgent submission,HR phish
,dept_hr_phish,24-hour deadline,HR phish
,dept_hr_phish,overdue freeze,HR phish
,dept_hr_phish,CEO retrieval of all employee files,HR phish
,dept_hr_phish,salary update link,HR phish
,dept_hr_phish,ID upload,HR phish
,dept_hr_phish,bank account reporting,HR phish
,dept_hr_phish,social security account lockout,HR phish
,dept_hr_phish,individual income tax refund,HR phish
,dept_hr_phish,high-paying internal referral,HR phish
,dept_hr_phish,resume supplementation,HR phish
,dept_hr_phish,privacy verification,HR phish
,dept_hr_phish,salary flow upload,HR phish
,dept_hr_phish,personnel audit,HR phish
,dept_hr_phish,employee information export,HR phish
,dept_hr_phish,external background check platform,HR phish
,dept_hr_phish,onboarding subsidy application,HR phish
,dept_hr_phish,social security supplementary payment fines,HR phish
,dept_hr_phish,time-limited file submission,HR phish
,dept_hr_phish,third-party information system,HR phish
,dept_finance_legit,Monthly reconciliation,Finance legit
,dept_finance_legit,VAT invoice,Finance legit
,dept_finance_legit,corporate account,Finance legit
,dept_finance_legit,supplier settlement,Finance legit
,dept_finance_legit,travel expense reimbursement,Finance legit
,dept_finance_legit,quarterly tax filing,Finance legit
,dept_finance_legit,input tax deduction,Finance legit
,dept_finance_legit,bank receipt,Finance legit
,dept_finance_legit,corporate transfer,Finance legit
,dept_finance_legit,expense write-off,Finance legit
,dept_finance_legit,financial statement,Finance legit
,dept_finance_legit,budget approval,Finance legit
,dept_finance_legit,tax clearance certificate,Finance legit
,dept_finance_legit,online banking,Finance legit
,dept_finance_legit,accounts payable,Finance legit
,dept_finance_legit,tax hall,Finance legit
,dept_finance_legit,invoice red cancellation,Finance legit
,dept_finance_legit,cost accounting,Finance legit
,dept_finance_legit,reimbursement process,Finance legit
,dept_finance_legit,monthly audit,Finance legit
,dept_finance_phish,Urgent corporate remittance,Finance phish
,dept_finance_phish,deadline for the day,Finance phish
,dept_finance_phish,tax overdue fine,Finance phish
,dept_finance_phish,tax refund application,Finance phish
,dept_finance_phish,false invoice attachment,Finance phish
,dept_finance_phish,CEO temporary payment,Finance phish
,dept_finance_phish,frozen corporate account,Finance phish
,dept_finance_phish,late payment penalty,Finance phish
,dept_finance_phish,scanning payment,Finance phish
,dept_finance_phish,financial system update,Finance phish
,dept_finance_phish,bank account corporate verification,Finance phish
,dept_finance_phish,tax refund link,Finance phish
,dept_finance_phish,supplier collection,Finance phish
,dept_finance_phish,audit attachment,Finance phish
,dept_finance_phish,unreported penalty,Finance phish
,dept_finance_phish,time-limited fund transfer,Finance phish
,dept_finance_phish,private transfer channel,Finance phish
,dept_finance_phish,false tax clearance document,Finance phish
,dept_it_legit,Server inspection,IT legit
,dept_it_legit,VPN login,IT legit
,dept_it_legit,cloud server,IT legit
,dept_it_legit,database operation,IT legit
,dept_it_legit,security patch,IT legit
,dept_it_legit,vulnerability scanning,IT legit
,dept_it_legit,background access,IT legit
,dept_it_legit,firewall,IT legit
,dept_it_legit,operation ticket,IT legit
,dept_it_legit,system upgrade,IT legit
,dept_it_legit,bandwidth expansion,IT legit
,dept_it_legit,cloud resource renewal,IT legit
,dept_it_legit,account permission,IT legit
,dept_it_legit,log audit,IT legit
,dept_it_legit,software update,IT legit
,dept_it_legit,internal network control,IT legit
,dept_it_legit,data backup,IT legit
,dept_it_legit,IT asset inventory,IT legit
,dept_it_phish,High-risk vulnerabilities urgently fixed,IT phish
,dept_it_phish,system paralysis within 2 hours,IT phish
,dept_it_phish,remote access to database,IT phish
,dept_it_phish,expired VPN account,IT phish
,dept_it_phish,application for administrator privileges,IT phish
,dept_it_phish,suspension of cloud account due to overdue bill,IT phish
,dept_it_phish,malicious backdoor tools,IT phish
,dept_it_phish,patch installation package,IT phish
,dept_it_phish,server intrusion warning,IT phish
,dept_it_phish,external links for background login,IT phish
,dept_it_phish,temporary granting of executive authority,IT phish
,dept_it_phish,urgent verification of data leakage,IT phish
,dept_it_phish,vulnerability package from third-party security vendors,IT phish
,se_authority,CEO notice,SE authority
,se_authority,general manager instruction,SE authority
,se_authority,headquarters audit,SE authority
,se_authority,tax bureau,SE authority
,se_authority,official human resources department,SE authority
,se_authority,group risk control,SE authority
,se_authority,CTO operation instruction,SE authority
,se_urgent,Time-limited,SE urgent
,se_urgent,24 hours,SE urgent
,se_urgent,deadline for today,SE urgent
,se_urgent,immediate handling,SE urgent
,se_urgent,overdue freeze,SE urgent
,se_fear,accountability,SE fear
