"id","source","is_available","sender","subject","content_1","link_text_1","url_1","content_2","link_text_2","url_2","content_3","link_text_3","url_3","content_4","link_text_4","url_4","difficulty_level","template_type","email_label","department","scam_keywords","analysis_description"
"","admin","True","hr@global-corp.com","2026 Q3 Performance Evaluation Schedule Released","Dear colleagues, the Q3 performance evaluation cycle has officially started. All employees are required to complete the self-assessment form before the deadline set by each department. The HR team will collect results in batches.","Open performance evaluation form","https://hr.global-corp.com/performance/q3","Department heads should submit evaluation comments after the self-assessment period. For questions about position adjustment or internal competition policies, please refer to the employee handbook.","View evaluation guidelines","https://hr.global-corp.com/handbook/evaluation","Results will be announced after review. No further action is needed at this stage.","","","Human Resources Department, Global-Corp","","","2","L2_1","legit","hr","performance evaluation, position adjustment, internal competition","LEGITIMATE email. (1) Sender hr@global-corp.com uses the official trusted domain. (2) Both links point to hr.global-corp.com which is on the whitelist. (3) Content contains only routine HR business terms (performance evaluation, position adjustment, internal competition). (4) No urgency threats, no fear tactics, no benefit lures, no credential requests. (5) No embedded verification links. Recognition tip: legitimate HR notices always use global-corp.com domains and reference internal portals."
"","admin","True","payroll-notice@hr-official-global.com","URGENT: Salary Account Update Required Within 24 Hours - Overdue Freeze Warning","Dear employee, our payroll system has detected that your bank account reporting information is incomplete. To ensure your salary slip is processed this month, you must complete the salary update link verification within 24 hours. Failure to comply will result in overdue freeze of your payroll account.","Update salary account now","https://payroll-notice.hr-g1obal-corp.com/salary-update","This urgent submission is mandated by the official human resources department. Please have your ID upload ready and complete the privacy verification process immediately.","Submit bank details","https://hr-official.hr-g1obal-corp.com/verify","If you have recently submitted a resume supplementation for internal competition, please also confirm your details through the link above to avoid payment errors.","","","Payroll Administration, Global-Corp HR","","","2","L2_2","phish","hr","payroll-notice, hr-official, 24 hours, overdue freeze, salary update link, bank account reporting, ID upload, privacy verification, urgent submission, official human resources department","PHISHING email. (1) SENDER SPOOFING: payroll-notice@hr-official-global.com contains fake sender keywords payroll-notice and hr-official; domain is NOT global-corp.com. (2) URL HOMOGRAPH ATTACK: links use hr-g1obal-corp.com where lowercase L is replaced by digit 1 (g1obal vs global), visually impersonating the trusted hr.global-corp.com; URLs also contain fake domain keywords payroll-notice and hr-official. (3) SOCIAL ENGINEERING - URGENCY: within 24 hours, urgent submission, immediately. (4) SOCIAL ENGINEERING - FEAR: overdue freeze, salary disruption. (5) SOCIAL ENGINEERING - AUTHORITY: official human resources department. (6) Requests sensitive data (bank account, ID upload) via external link. Recognition tip: HR never asks for bank details through embedded links; verify the domain character by character."
"","admin","True","recruit-audit@staff-info-portal.com","High-Paying Internal Referral Bonus - Claim Your Cash Reward Today","Congratulations, you have been selected for the high-paying internal referral program. Complete your resume supplementation through the link below to receive your special subsidy and cash return. This is a time-limited offer from the official human resources department.","Claim referral bonus","https://recruit-audit.staff-info-portal.com/referral","The headhunting cooperation team has approved a welfare application on your behalf. Click to confirm your payment details and receive the benefit directly to your account.","Confirm benefit payment","https://career-rebate.staff-info-portal.com/claim","Please note this offer expires at midnight. Late submissions will not be processed.","","","Talent Acquisition Team, Global-Corp","","","2","L2_3","phish","hr","recruit-audit, staff-info, career-rebate, high-paying internal referral, resume supplementation, subsidy, cash return, welfare application, time-limited, official human resources department, benefit lure","PHISHING email. (1) SENDER SPOOFING: recruit-audit@staff-info-portal.com contains fake sender keywords recruit-audit and staff-info; domain is not trusted. (2) FAKE URLS: links contain fake domain keywords recruit-audit, staff-info, career-rebate; staff-info-portal.com is not on the whitelist. (3) SOCIAL ENGINEERING - BENEFIT LURE: high-paying referral, special subsidy, cash return, welfare application - entices victim with promised money. (4) SOCIAL ENGINEERING - URGENCY: time-limited offer, expires at midnight. (5) SOCIAL ENGINEERING - AUTHORITY: official human resources department. (6) Requests payment details via external link. Recognition tip: legitimate bonus programs are announced through hr.global-corp.com, not unsolicited emails with cash-reward links."
"","admin","True","onboarding@global-corp.com","New Employee Onboarding Materials and Labor Contract Submission","Welcome to Global-Corp. Please complete your onboarding processing by submitting the required documents through the HR portal. This includes your signed labor contract, background check authorization, and personnel filing forms.","Submit onboarding materials","https://hr.global-corp.com/onboarding/new-hire","New employees should also complete the training registration for the orientation session. The onboarding materials checklist is available for download on the HR page.","Register for orientation training","https://hr.global-corp.com/training/orientation","If you have questions about the probation approval process or social security and housing fund enrollment, contact your HR business partner.","","","Human Resources Onboarding Team","","","2","L2_1","legit","hr","onboarding processing, labor contract, background check, personnel filing, training registration, onboarding materials, probation approval, social security and housing fund","LEGITIMATE email. (1) Sender onboarding@global-corp.com uses the official trusted domain. (2) Both links point to hr.global-corp.com which is whitelisted. (3) Content covers standard onboarding procedures (labor contract, background check, training registration). (4) No urgency, threats, or unsolicited benefit promises. (5) Directs employees to contact HR business partners for questions rather than clicking suspicious links. Recognition tip: legitimate onboarding emails use internal HR portals and do not demand immediate credential verification."
"","admin","True","employee-file@social-tax-hr.com","CEO Notice: Immediate Retrieval of All Employee Files - Personnel Audit","Per CEO notice, all employees must complete employee information export for the quarterly personnel audit. This is a time-limited file submission required by headquarters audit. Immediate handling is needed before the deadline for today.","Access employee file portal","https://employee-file.social-tax-hr.com/roster","Failure to complete privacy verification will result in social security account lockout and accountability measures. Please upload your ID and bank account reporting details through the third-party information system.","Submit audit documents","https://social-tax.social-tax-hr.com/audit","This audit covers employee roster, salary flow upload, and individual income tax declaration records. All staff must comply.","","","Office of the CEO, Global-Corp","","","2","L2_2","phish","hr","employee-file, social-tax, CEO notice, employee information export, personnel audit, time-limited file submission, headquarters audit, immediate handling, deadline for today, privacy verification, social security account lockout, accountability, ID upload, bank account reporting, third-party information system, employee roster, salary flow upload, individual income tax declaration","PHISHING email. (1) SENDER SPOOFING: employee-file@social-tax-hr.com contains fake sender keywords employee-file and social-tax; domain is not global-corp.com. (2) FAKE URLS: links contain fake domain keywords employee-file and social-tax; social-tax-hr.com is not trusted. (3) SOCIAL ENGINEERING - AUTHORITY: CEO notice, headquarters audit. (4) SOCIAL ENGINEERING - URGENCY: immediate handling, deadline for today, time-limited. (5) SOCIAL ENGINEERING - FEAR: social security account lockout, accountability. (6) Requests mass personal data (ID, bank details, salary records) via third-party information system - data harvesting attack. Recognition tip: CEO requests for employee data should be verified through official internal channels; HR never uses third-party systems for personnel audits."
"","admin","True","hr@global-corp.com","Annual Leave Application System Maintenance This Weekend","The annual leave application module will undergo scheduled maintenance this Saturday from 2:00 AM to 6:00 AM. During this period, leave requests and attendance record queries will be temporarily unavailable.","View maintenance schedule","https://hr.global-corp.com/announcements/maintenance","Employees with pending leave requests should submit them before Friday. The attendance record system will not be affected. For urgent matters, contact your HR business partner.","Check leave balance","https://hr.global-corp.com/leave/balance","The system will automatically resume after maintenance. No action is required from employees.","","","HR Systems Administration","","","2","L2_1","legit","hr","annual leave application, attendance record","LEGITIMATE email. (1) Sender hr@global-corp.com is official. (2) Both links use hr.global-corp.com on the whitelist. (3) Content is a routine maintenance notice with a specific time window. (4) No urgency pressure, no threats, no credential requests. (5) Explicitly states no action required. Recognition tip: legitimate system maintenance notices provide specific schedules and use internal domains."
"","admin","True","socialsecurity-fake@hr-backend-alert.com","Social Security Supplementary Payment Fines - Immediate Action Required","Our records show a discrepancy in your social security base. You must pay social security supplementary payment fines within 24 hours to avoid account lockout. An individual income tax refund is also available for immediate claim.","Pay supplementary fine","https://socialsecurity-fake.hr-backend-alert.com/payment","Please complete the tax refund application through the link below. The subsidy will be deposited after bank account reporting verification.","Claim tax refund","https://tax-notice.hr-backend-alert.com/refund","Overdue freeze will be applied to all unconfirmed accounts after the deadline. This notification is from the official human resources department.","","","Social Security Administration Office","","","2","L2_3","phish","hr","socialsecurity-fake, hr-backend, tax-notice, social security supplementary payment fines, social security base, individual income tax refund, 24 hours, account lockout, tax refund application, subsidy, bank account reporting, overdue freeze, official human resources department, urgent","PHISHING email. (1) SENDER SPOOFING: socialsecurity-fake@hr-backend-alert.com contains fake sender keywords socialsecurity-fake and hr-backend; domain is not trusted. (2) FAKE URLS: links contain fake domain keywords socialsecurity-fake, hr-backend, tax-notice. (3) SOCIAL ENGINEERING - URGENCY: within 24 hours, immediate action, deadline. (4) SOCIAL ENGINEERING - FEAR: account lockout, overdue freeze, fines. (5) SOCIAL ENGINEERING - BENEFIT LURE: tax refund, subsidy. (6) SOCIAL ENGINEERING - AUTHORITY: official human resources department. (7) Combines fear and benefit tactics to pressure payment. Recognition tip: social security matters are handled through official government channels or hr.global-corp.com, never via payment links in emails."
"","admin","True","hr@global-corp.com","Probation Approval Process and Physical Examination Notice","Employees approaching the end of probation should complete the probation approval form and submit the physical examination notice results to HR. The labor relationship confirmation will be processed after all documents are received.","Download probation approval form","https://hr.global-corp.com/probation/approval-form","Please also update your employee file with the latest personnel filing information. The department establishment review is conducted monthly.","Update employee file","https://hr.global-corp.com/employee-file/update","For questions about the probation period or onboarding materials, contact your HR representative.","","","Human Resources Department","","","2","L2_1","legit","hr","probation approval, physical examination notice, labor relationship, employee file, personnel filing, department establishment, onboarding materials","LEGITIMATE email. (1) Sender hr@global-corp.com is official. (2) Both links use hr.global-corp.com whitelist domain. (3) Content covers standard probation and HR documentation procedures. (4) No urgency, fear, or benefit lures. (5) Encourages contacting HR representatives for questions. Recognition tip: legitimate HR process emails reference internal forms and do not include external verification links."
"","admin","True","hr-backend@onboarding-subsidy.com","Onboarding Subsidy Application - New Employee Welfare Program","A new onboarding subsidy application program has been launched. All employees who joined this year are eligible for a special subsidy. Complete the application through the external background check platform to receive your welfare payment.","Apply for subsidy now","https://hr-backend.onboarding-subsidy.com/apply","You will also receive a free upgrade to the premium benefits package. Please provide your bank account reporting and salary flow upload for verification. This is a time-limited offer.","Verify bank details","https://hr-official.onboarding-subsidy.com/verify","Failure to complete the application before the 24-hour deadline will result in forfeiture of the benefit. No exceptions will be made.","","","HR Benefits Administration","","","2","L2_2","phish","hr","hr-backend, hr-official, onboarding subsidy application, special subsidy, welfare application, free upgrade, external background check platform, bank account reporting, salary flow upload, time-limited, 24-hour deadline, benefit lure","PHISHING email. (1) SENDER SPOOFING: hr-backend@onboarding-subsidy.com contains fake sender keyword hr-backend; domain is not trusted. (2) FAKE URLS: links contain fake domain keywords hr-backend and hr-official; onboarding-subsidy.com is not on the whitelist. (3) SOCIAL ENGINEERING - BENEFIT LURE: special subsidy, welfare payment, free upgrade, premium benefits. (4) SOCIAL ENGINEERING - URGENCY: time-limited, 24-hour deadline, no exceptions. (5) Requests bank details and salary information via external background check platform. (6) Uses onboarding-related legitimate terms to appear credible. Recognition tip: employee benefits are managed through hr.global-corp.com; unsolicited subsidy offers with payment links are always phishing."
"","admin","True","hr@global-corp.com","Q4 Training Registration and Department Establishment Update","The Q4 training registration portal is now open. Employees can browse available courses and enroll through the HR learning platform. The department establishment plan for next quarter has also been published.","Browse training courses","https://hr.global-corp.com/training/catalog","Please complete your training registration before the end of the month. For questions about position adjustment or internal competition opportunities, refer to the internal job posting board.","View internal job postings","https://hr.global-corp.com/careers/internal","Managers should confirm their department establishment requirements with HR by Friday.","","","HR Learning and Development","","","2","L2_1","legit","hr","training registration, department establishment, position adjustment, internal competition","LEGITIMATE email. (1) Sender hr@global-corp.com is official. (2) Both links point to hr.global-corp.com whitelist domain. (3) Content covers routine training and department planning. (4) No urgency threats, no credential requests, no benefit lures. (5) Standard internal communication. Recognition tip: legitimate training announcements use internal learning platforms and do not require external verification."
