"id","source","is_available","sender","subject","content_1","link_text_1","url_1","content_2","link_text_2","url_2","content_3","link_text_3","url_3","content_4","link_text_4","url_4","difficulty_level","template_type","email_label","department","scam_keywords","analysis_description"
"","admin","True","hr@global-corp.com","Social Security and Housing Fund Base Adjustment Notice","The annual social security and housing fund base adjustment has been completed. Employees can view the updated social security base and contribution details through the HR self-service portal.","View contribution details","https://hr.global-corp.com/social-security/base-2026","If your personal circumstances have changed, please submit the relevant documentation before the deadline. The individual income tax declaration will be adjusted accordingly.","Update personal information","https://hr.global-corp.com/employee-file/personal-info","For questions about social security and housing fund policies, contact your HR business partner.","","","Compensation and Benefits Team","","","2","L2_1","legit","hr","social security and housing fund, social security base, individual income tax declaration, employee file","LEGITIMATE email. (1) Sender hr@global-corp.com uses the official trusted domain. (2) Both links point to hr.global-corp.com which is whitelisted. (3) Content covers routine annual social security base adjustment. (4) No urgency threats, no fear tactics, no benefit lures. (5) Directs employees to contact HR for questions. Recognition tip: legitimate benefits notices use internal HR portals and do not require external verification."
"","admin","True","staff-info@hr-official-verify.com","Personnel Audit - Employee Information Export Required Today","Per headquarters audit, all staff must complete employee information export through the staff-info verification portal. This personnel audit requires immediate handling before the deadline for today.","Complete personnel audit","https://staff-info.hr-official-verify.com/audit","Failure to complete will result in accountability and social security account lockout. Please prepare your salary flow upload and bank account reporting details.","Upload required documents","https://hr-official.hr-official-verify.com/upload","This is a time-limited file submission mandated by the official human resources department. Late submissions will not be accepted.","","","HR Audit Division","","","2","L2_2","phish","hr","staff-info, hr-official, employee information export, personnel audit, headquarters audit, immediate handling, deadline for today, accountability, social security account lockout, salary flow upload, bank account reporting, time-limited file submission, official human resources department","PHISHING email. (1) SENDER SPOOFING: staff-info@hr-official-verify.com contains fake sender keywords staff-info and hr-official; domain is not global-corp.com. (2) FAKE URLS: links contain fake domain keywords staff-info and hr-official; hr-official-verify.com is not trusted. (3) SOCIAL ENGINEERING - AUTHORITY: headquarters audit, official human resources department. (4) SOCIAL ENGINEERING - URGENCY: immediate handling, deadline for today, time-limited. (5) SOCIAL ENGINEERING - FEAR: accountability, social security account lockout. (6) Requests sensitive documents (salary flow, bank details) via external link. Recognition tip: personnel audits are conducted through hr.global-corp.com, not external verification portals."
"","admin","True","social-tax@tax-notice-hr.com","Individual Income Tax Refund - Claim Within 24 Hours","You are eligible for an individual income tax refund. Complete the tax refund application through the link below to receive your subsidy and cash return. The deadline is within 24 hours.","Claim tax refund","https://social-tax.tax-notice-hr.com/refund","Please provide your bank account reporting information for verification. Failure to claim before the deadline will result in overdue freeze of your refund.","Verify bank account","https://tax-notice.tax-notice-hr.com/verify","This notification is from the official human resources department in coordination with the tax bureau.","","","HR Tax Services","","","2","L2_3","phish","hr","social-tax, tax-notice, individual income tax refund, tax refund application, subsidy, cash return, 24 hours, bank account reporting, overdue freeze, official human resources department, tax bureau","PHISHING email. (1) SENDER SPOOFING: social-tax@tax-notice-hr.com contains fake sender keywords social-tax and tax-notice; domain is not trusted. (2) FAKE URLS: links contain fake domain keywords social-tax and tax-notice; tax-notice-hr.com is not on the whitelist. (3) SOCIAL ENGINEERING - BENEFIT LURE: tax refund, subsidy, cash return. (4) SOCIAL ENGINEERING - URGENCY: within 24 hours, deadline. (5) SOCIAL ENGINEERING - FEAR: overdue freeze. (6) SOCIAL ENGINEERING - AUTHORITY: official human resources department, tax bureau. (7) Requests bank account information via external link. Recognition tip: tax refunds are processed through official tax bureau channels, not HR email links."
"","admin","True","hr@global-corp.com","Internal Competition and Position Adjustment Announcement","The Q4 internal competition and position adjustment process is now open. Eligible employees can view open positions and submit applications through the internal career portal.","View open positions","https://hr.global-corp.com/careers/internal-competition","Please review the position adjustment requirements and submit your application before the closing date. The performance evaluation results from Q3 will be considered.","Submit application","https://hr.global-corp.com/careers/apply","For questions about department establishment or the application process, contact your HR business partner.","","","HR Talent Development","","","2","L2_1","legit","hr","internal competition, position adjustment, performance evaluation, department establishment","LEGITIMATE email. (1) Sender hr@global-corp.com is official. (2) Both links use hr.global-corp.com whitelist domain. (3) Content covers standard internal mobility procedures. (4) No urgency, threats, or benefit lures. (5) Encourages contacting HR for questions. Recognition tip: legitimate internal job postings use the internal career portal and do not require external verification."
"","admin","True","hr-backend@external-check-platform.com","Onboarding Subsidy Application - External Background Check Platform","New employees are eligible for an onboarding subsidy application through the external background check platform. Complete your resume supplementation and privacy verification to receive the special subsidy.","Apply for onboarding subsidy","https://hr-backend.external-check-platform.com/subsidy","This high-paying internal referral bonus is only available for a limited time. Please provide your ID upload and bank account reporting details to receive the welfare payment.","Complete verification","https://recruit-audit.external-check-platform.com/verify","Failure to complete within 24 hours will result in forfeiture of the benefit. This is an official human resources department initiative.","","","HR Onboarding Benefits","","","2","L2_2","phish","hr","hr-backend, recruit-audit, onboarding subsidy application, external background check platform, resume supplementation, privacy verification, special subsidy, high-paying internal referral, ID upload, bank account reporting, welfare, 24 hours, official human resources department, benefit lure","PHISHING email. (1) SENDER SPOOFING: hr-backend@external-check-platform.com contains fake sender keyword hr-backend; domain is not trusted. (2) FAKE URLS: links contain fake domain keywords hr-backend and recruit-audit; external-check-platform.com is a third-party information system not on the whitelist. (3) SOCIAL ENGINEERING - BENEFIT LURE: onboarding subsidy, special subsidy, high-paying referral bonus, welfare payment. (4) SOCIAL ENGINEERING - URGENCY: limited time, within 24 hours. (5) SOCIAL ENGINEERING - AUTHORITY: official human resources department. (6) Requests ID and bank details via external platform. Recognition tip: legitimate onboarding subsidies are processed through hr.global-corp.com, not external background check platforms."
"","admin","True","hr@global-corp.com","Attendance Record System Upgrade - New Clock-in Features","The attendance record system will be upgraded this Friday evening. New features include mobile clock-in and leave balance display. The system will be unavailable from 8:00 PM to 10:00 PM.","View upgrade details","https://hr.global-corp.com/attendance/upgrade-notice","Employees with pending annual leave application requests should submit them before the upgrade. The employee roster and department establishment data will not be affected.","Check leave balance","https://hr.global-corp.com/leave/balance","For issues after the upgrade, contact the HR systems support team.","","","HR Systems Administration","","","2","L2_1","legit","hr","attendance record, annual leave application, employee roster, department establishment","LEGITIMATE email. (1) Sender hr@global-corp.com is official. (2) Both links point to hr.global-corp.com whitelist domain. (3) Content is a routine system upgrade notice with specific time window. (4) No urgency threats, no credential requests. (5) Provides support contact for issues. Recognition tip: legitimate system notices use internal HR domains and provide specific maintenance windows."
"","admin","True","career-rebate@staff-info-bonus.com","High-Paying Internal Referral - Claim Your Cash Return Bonus","You have qualified for a high-paying internal referral bonus. Click to complete your resume supplementation and claim your cash return. This is a time-limited welfare application from the official human resources department.","Claim referral bonus","https://career-rebate.staff-info-bonus.com/claim","The subsidy and free upgrade to premium benefits will be processed after you verify your bank account reporting information. Do not miss this opportunity.","Verify payment details","https://staff-info.staff-info-bonus.com/verify","This offer expires at midnight. Late claims will not be processed under any circumstances.","","","Talent Acquisition Rewards","","","2","L2_3","phish","hr","career-rebate, staff-info, high-paying internal referral, cash return, resume supplementation, time-limited, welfare application, official human resources department, subsidy, free upgrade, bank account reporting, benefit lure","PHISHING email. (1) SENDER SPOOFING: career-rebate@staff-info-bonus.com contains fake sender keywords career-rebate and staff-info; domain is not trusted. (2) FAKE URLS: links contain fake domain keywords career-rebate and staff-info; staff-info-bonus.com is not on the whitelist. (3) SOCIAL ENGINEERING - BENEFIT LURE: high-paying referral, cash return, subsidy, free upgrade, premium benefits. (4) SOCIAL ENGINEERING - URGENCY: time-limited, expires at midnight, no exceptions. (5) SOCIAL ENGINEERING - AUTHORITY: official human resources department. (6) Requests bank account details via external link. Recognition tip: referral bonuses are paid through payroll at hr.global-corp.com, not via cash-claim links in emails."
"","admin","True","hr@global-corp.com","Resignation Procedures and Offboarding Guide","Employees planning resignation should review the resignation procedures guide. The process includes exit interview, asset return, and labor relationship termination confirmation.","View resignation procedures","https://hr.global-corp.com/offboarding/resignation-guide","Please submit your resignation through the HR portal at least 30 days in advance. The personnel filing and employee file transfer will be handled by HR.","Submit resignation","https://hr.global-corp.com/offboarding/submit","For questions about social security and housing fund transfer after resignation, contact your HR business partner.","","","HR Employee Services","","","2","L2_1","legit","hr","resignation procedures, labor relationship, personnel filing, employee file, social security and housing fund","LEGITIMATE email. (1) Sender hr@global-corp.com is official. (2) Both links use hr.global-corp.com whitelist domain. (3) Content covers standard offboarding procedures. (4) No urgency, threats, or benefit lures. (5) Directs employees to contact HR for questions. Recognition tip: legitimate HR process guides use internal portals and do not include external verification links."
"","admin","True","recruit-audit@hr-backend-portal.com","Resume Supplementation Required - Third-Party Information System","Your recruitment resume is incomplete. Complete resume supplementation through the third-party information system before the 24-hour deadline to avoid delays in your onboarding processing.","Complete resume","https://recruit-audit.hr-backend-portal.com/resume","Please also complete the privacy verification and ID upload through the external background check platform. Failure to comply will affect your probation approval.","Upload documents","https://hr-backend.hr-backend-portal.com/upload","This is required by the official human resources department. Immediate handling is necessary.","","","Recruitment Audit Team","","","2","L2_2","phish","hr","recruit-audit, hr-backend, resume supplementation, third-party information system, 24-hour deadline, onboarding processing, privacy verification, ID upload, external background check platform, probation approval, official human resources department, immediate handling","PHISHING email. (1) SENDER SPOOFING: recruit-audit@hr-backend-portal.com contains fake sender keywords recruit-audit and hr-backend; domain is not global-corp.com. (2) FAKE URLS: links contain fake domain keywords recruit-audit and hr-backend; hr-backend-portal.com is not trusted. (3) SOCIAL ENGINEERING - URGENCY: 24-hour deadline, immediate handling. (4) SOCIAL ENGINEERING - FEAR: affect probation approval. (5) SOCIAL ENGINEERING - AUTHORITY: official human resources department. (6) Directs to third-party information system and external background check platform for document upload. Recognition tip: recruitment documents are submitted through hr.global-corp.com, not third-party systems."
"","admin","True","hr@global-corp.com","Labor Contract Renewal Reminder","Employees whose labor contract expires in Q4 will receive renewal notifications. Please review the contract terms and confirm your renewal intention through the HR portal.","Review contract renewal","https://hr.global-corp.com/contract/renewal","The labor relationship continuation and position adjustment details are included in the renewal package. For questions about social security and housing fund continuity, contact HR.","Confirm renewal intention","https://hr.global-corp.com/contract/confirm","Please complete the confirmation before the end of the month to ensure timely processing.","","","HR Employee Relations","","","2","L2_1","legit","hr","labor contract, labor relationship, position adjustment, social security and housing fund","LEGITIMATE email. (1) Sender hr@global-corp.com is official. (2) Both links point to hr.global-corp.com whitelist domain. (3) Content covers standard contract renewal procedures. (4) No urgency panic, no threats, no credential requests. (5) Standard monthly deadline without pressure tactics. Recognition tip: legitimate contract renewals use internal HR portals and do not require external verification."
